order_id,order_item_id,existing_profit,calculated_profit,difference,existing_margin,calculated_margin,existing_roi,calculated_roi
114-5537189-7733816,7314,-706.02,-11.28,694.74,None,NULL,-108.68,-1.76
114-9043836-5068267,6211,-56.07,-46.38,9.69,-23.22,-19.21,-21.86,-18.79
111-0157472-9802678,9263,-1.27,0.00,1.27,-14.98,0.00,None,NULL
113-3330753-8142631,5677,-0.59,6.97,7.56,-2.71,31.97,-3.09,60.29
111-2165013-7109809,5699,-1047.29,-1029.33,17.96,-129.15,-126.94,-60.31,-59.89
111-4331506-3705850,8440,29.24,-8.52,-37.76,80.18,-19.86,404.43,NULL
113-7932142-8179467,8279,127.97,-53.75,-181.72,18.55,-6.62,22.77,-10.09
111-4376243-2709010,7966,52.07,0.00,-52.07,73.33,0.00,None,NULL
111-9890938-7949832,8228,-8.29,0.00,8.29,None,NULL,None,NULL
112-5895531-0325027,5696,-172.14,-165.65,6.49,-63.51,-61.11,-42.76,-41.83
112-4750678-6238639,7359,12.86,-18.80,-31.66,6.44,-9.41,7.89,-12.62
113-8369792-3504222,7351,-15.2,-6.62,8.58,0.0,NULL,-340.04,NULL
111-3107789-4465809,7364,19.12,-4.71,-23.83,None,-3.00,None,-4.12
111-1261729-6389002,8728,82.63,0.00,-82.63,79.16,0.00,None,NULL
114-7645314-9651412,8017,11.1,-13.17,-24.27,19.98,-20.15,24.97,-39.62
111-9972904-3514632,5668,-899.09,-840.04,59.05,-305.88,-285.79,-78.25,-77.08
111-8274361-6892203,7256,12.05,-1.70,-13.75,None,-3.81,None,-7.05
112-4552563-4637061,7531,18.5,-4.80,-23.30,11.57,-3.00,15.76,-4.09
114-6885642-0727460,10155,-8.48,0.00,8.48,None,NULL,None,NULL
114-0898455-0496220,1083,-10.51,-5.68,4.83,0.0,NULL,-235.12,NULL
113-5205861-5551457,8442,21.67,-11.51,-33.18,20.0,-9.03,25.0,-14.57
113-5316254-4227429,7293,12.66,-3.50,-16.16,None,-3.00,None,-4.04
113-2594123-0577009,8267,-9.1,-10.19,-1.09,-7.62,-8.54,-8.75,-9.80
112-2923148-6796216,8283,-72.61,-20.96,51.65,-43.69,-12.61,-36.69,-10.59
112-4161075-0160220,5708,102.95,0.00,-102.95,85.0,0.00,None,NULL
112-0347440-0890648,8181,15.29,-9.40,-24.69,23.93,-12.50,31.45,-22.67
114-4851172-9304227,10156,-8.48,0.00,8.48,None,NULL,None,NULL
112-5368245-3138669,8612,54.71,0.00,-54.71,62.28,0.00,None,NULL
114-8957641-7733043,5720,66.95,0.00,-66.95,None,0.00,None,NULL
114-9841779-6169068,10157,-8.48,0.00,8.48,None,NULL,None,NULL
111-8562281-9156201,8056,42.82,0.00,-42.82,17.0,0.00,25.01,0.00
112-4728120-9159419,5744,77.63,0.00,-77.63,None,0.00,None,NULL
111-6921661-2992252,975,-17.71,-10.47,7.24,0.0,NULL,-204.5,NULL
113-8441056-2326649,7113,-139.8,-31.68,108.12,None,NULL,-156.59,-35.48
112-0990786-7994667,7439,-8.46,-5.39,3.07,0.0,NULL,-183.12,NULL
113-8077977-5878640,8006,12.86,0.00,-12.86,19.68,0.00,38.69,0.00
113-3023810-1973038,5766,-338.97,-289.23,49.74,-89.63,-76.48,-51.33,-47.36
113-1994859-3077016,5769,-57.31,-48.74,8.57,-44.37,-37.74,-34.3,-30.74
112-1349491-3473004,5781,-3829.13,-3677.33,151.80,-654.7,-628.74,-88.51,-88.09
111-7634040-4137841,5709,146.85,0.00,-146.85,11.48,0.00,15.0,0.00
111-8046941-2875460,8063,5.16,-5.97,-11.13,44.03,-43.29,78.66,-597.00
114-3187484-9129813,8146,156.82,0.00,-156.82,84.06,0.00,None,NULL
113-2972767-5379419,8362,15.12,-11.01,-26.13,19.3,-11.94,23.91,-20.02
112-6431235-1124238,5662,-494.74,-476.40,18.34,-132.82,-127.90,-59.08,-58.16
112-2970905-7295434,5675,16.74,0.00,-16.74,13.23,0.00,18.8,0.00
114-8233355-8194617,5683,6.57,0.00,-6.57,15.28,0.00,21.91,0.00
113-5625239-9853054,7365,7.24,-1.65,-8.89,None,-3.00,None,-4.18
112-9953428-8849037,5734,-998.61,-985.37,13.24,-116.63,-115.08,-57.84,-57.52
112-2246083-9089833,5738,-117.89,-110.72,7.17,-46.57,-43.74,-35.59,-34.16
111-0072522-7975415,5741,-125.38,-116.40,8.98,-39.43,-36.61,-30.0,-28.46
111-3497455-7280260,7457,43.41,0.00,-43.41,None,0.00,None,NULL
111-2883634-7315453,7390,11.02,0.00,-11.02,None,0.00,None,0.00
111-0711220-9920230,5736,113.15,0.00,-113.15,85.0,0.00,None,NULL
112-6435401-1867442,7410,54.05,0.00,-54.05,None,0.00,None,0.00
113-3072383-0514602,7434,15.69,0.00,-15.69,None,0.00,None,0.00
112-2207153-5957807,7442,17.07,0.00,-17.07,None,0.00,None,0.00
112-6426562-7753021,8237,48.23,0.00,-48.23,77.79,0.00,None,NULL
113-4313236-9322666,5760,9.76,0.00,-9.76,8.25,0.00,10.96,0.00
112-7304840-6481844,9693,174.45,-9.60,-184.05,97.37,-4.72,3703.82,NULL
114-6260615-5313869,8235,7.95,0.00,-7.95,26.2,0.00,35.51,0.00
111-7270280-1409816,5775,-292.51,-276.51,16.00,-127.57,-120.59,-60.01,-58.66
114-1099668-5887412,5780,456.72,0.00,-456.72,81.95,0.00,1304.91,0.00
111-4178191-8313008,5802,-144.1,-132.35,11.75,-57.21,-52.55,-40.23,-38.20
114-8475448-0061836,5800,65.63,0.00,-65.63,None,0.00,None,NULL
113-0748027-4420267,8290,19.77,0.00,-19.77,20.0,0.00,25.0,0.00
113-6856150-7747461,7557,40.39,0.00,-40.39,None,0.00,None,NULL
